Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.68,0.51,0.20,1.61,0.71,0.34,0.47,11
M,0.69,0.52,0.15,1.37,0.72,0.29,0.32,11
F,0.69,0.57,0.18,1.64,0.78,0.38,0.44,11
F,0.69,0.55,0.20,1.57,0.69,0.37,0.46,12
M,0.70,0.57,0.18,1.86,0.84,0.39,0.54,10
F,0.70,0.54,0.18,1.77,0.68,0.48,0.51,15
F,0.71,0.55,0.17,1.58,0.64,0.46,0.27,11
M,0.71,0.58,0.22,2.01,0.99,0.45,0.50,11
F,0.71,0.57,0.20,1.98,0.99,0.49,0.48,12
F,0.71,0.54,0.21,1.58,0.80,0.29,0.44,10
M,0.71,0.56,0.22,2.02,0.92,0.45,0.57,11
M,0.72,0.57,0.20,1.83,0.92,0.37,0.49,10
M,0.72,0.55,0.21,2.13,1.15,0.44,0.51,13
F,0.72,0.53,0.18,1.45,0.63,0.32,0.44,7
F,0.73,0.57,0.21,2.14,1.03,0.49,0.50,14
F,0.73,0.56,0.19,1.94,0.80,0.52,0.57,11
M,0.74,0.59,0.22,1.75,0.73,0.40,0.56,11
F,0.74,0.57,0.21,2.12,0.97,0.52,0.48,12
F,0.75,0.57,0.22,1.94,0.77,0.48,0.58,11
M,0.75,0.60,0.21,2.22,1.08,0.42,0.63,12
M,0.77,0.62,0.20,2.52,1.12,0.64,0.64,12
M,0.78,0.63,0.25,2.78,1.35,0.76,0.58,12
I,0.28,0.18,0.09,0.23,0.10,0.06,0.07,5
I,0.38,0.25,0.10,0.39,0.17,0.09,0.11,6
F,0.38,0.27,0.14,0.60,0.27,0.13,0.17,7
M,0.39,0.28,0.13,0.56,0.30,0.10,0.14,7
I,0.44,0.30,0.12,0.60,0.26,0.14,0.16,8
M,0.45,0.32,0.12,0.41,0.20,0.09,0.12,7
I,0.46,0.34,0.11,0.42,0.23,0.09,0.10,6
I,0.46,0.33,0.14,0.82,0.40,0.17,0.21,8
I,0.46,0.35,0.11,0.43,0.21,0.09,0.12,8
I,0.47,0.33,0.14,0.76,0.36,0.15,0.21,10
M,0.47,0.36,0.12,0.58,0.30,0.14,0.12,7
I,0.49,0.37,0.11,0.52,0.20,0.12,0.18,8
M,0.49,0.37,0.16,0.97,0.42,0.25,0.24,9
I,0.49,0.35,0.16,0.87,0.31,0.19,0.32,9
F,0.49,0.36,0.16,0.88,0.35,0.22,0.28,8
M,0.50,0.37,0.15,1.06,0.49,0.22,0.30,9
M,0.52,0.35,0.16,0.92,0.42,0.20,0.27,9
M,0.52,0.40,0.14,1.01,0.47,0.25,0.25,8
M,0.53,0.37,0.17,0.96,0.44,0.22,0.28,10
M,0.53,0.38,0.13,0.65,0.30,0.16,0.16,7
M,0.53,0.41,0.14,0.75,0.35,0.17,0.21,8
F,0.54,0.43,0.14,0.77,0.38,0.18,0.18,8
I,0.54,0.39,0.18,1.08,0.50,0.23,0.30,8
I,0.55,0.42,0.17,0.89,0.42,0.22,0.23,8
F,0.55,0.42,0.20,1.36,0.57,0.32,0.40,10
F,0.55,0.39,0.15,1.12,0.54,0.24,0.28,9
F,0.55,0.38,0.17,1.21,0.54,0.29,0.33,10
M,0.55,0.42,0.16,1.34,0.63,0.31,0.34,10
M,0.57,0.46,0.18,1.02,0.48,0.21,0.29,9
M,0.58,0.44,0.19,1.03,0.51,0.22,0.25,10
I,0.58,0.45,0.13,0.81,0.40,0.17,0.21,10
F,0.58,0.43,0.17,1.48,0.65,0.32,0.42,10
M,0.59,0.46,0.15,0.95,0.39,0.27,0.26,10
I,0.59,0.45,0.15,0.89,0.40,0.20,0.25,8
M,0.60,0.50,0.18,1.30,0.62,0.28,0.33,11
M,0.60,0.47,0.17,1.04,0.50,0.22,0.25,9
M,0.61,0.48,0.18,1.25,0.56,0.31,0.34,9
M,0.61,0.48,0.15,1.15,0.58,0.23,0.30,10
F,0.61,0.48,0.15,1.11,0.52,0.26,0.30,11
F,0.62,0.46,0.15,1.12,0.50,0.24,0.32,10
M,0.62,0.47,0.15,1.09,0.51,0.27,0.26,10
M,0.63,0.50,0.18,1.25,0.58,0.29,0.32,9
M,0.63,0.49,0.19,1.17,0.53,0.25,0.34,11
M,0.64,0.50,0.20,1.17,0.45,0.31,0.35,11
F,0.64,0.48,0.15,1.18,0.53,0.31,0.29,10
F,0.64,0.48,0.14,1.07,0.49,0.23,0.31,8
M,0.65,0.50,0.16,1.38,0.67,0.33,0.32,9
M,0.65,0.53,0.19,1.61,0.78,0.37,0.40,11
M,0.65,0.49,0.16,1.74,0.57,0.28,0.31,10
F,0.66,0.52,0.20,1.55,0.71,0.31,0.47,9
M,0.66,0.55,0.19,1.42,0.63,0.33,0.38,10
F,0.67,0.52,0.19,1.34,0.56,0.29,0.44,11
F,0.68,0.53,0.18,1.45,0.68,0.33,0.39,10
F,0.69,0.54,0.18,1.58,0.72,0.38,0.42,9
F,0.70,0.55,0.19,1.68,0.81,0.40,0.40,10
M,0.70,0.53,0.19,1.73,0.76,0.44,0.46,11
F,0.71,0.55,0.18,1.54,0.61,0.37,0.46,13
F,0.72,0.55,0.20,2.07,1.07,0.43,0.50,9
M,0.72,0.56,0.18,1.59,0.69,0.38,0.44,11
M,0.73,0.58,0.21,2.07,0.93,0.41,0.64,11
I,0.19,0.14,0.04,0.03,0.01,0.01,0.01,5
I,0.24,0.18,0.06,0.06,0.02,0.01,0.02,4
I,0.31,0.22,0.08,0.13,0.06,0.03,0.04,7
I,0.34,0.26,0.09,0.19,0.08,0.03,0.06,6
I,0.35,0.27,0.08,0.20,0.09,0.04,0.06,7
I,0.37,0.27,0.09,0.20,0.08,0.03,0.07,6
I,0.37,0.28,0.09,0.22,0.10,0.04,0.08,7
I,0.37,0.27,0.08,0.22,0.10,0.04,0.07,6
I,0.39,0.31,0.11,0.27,0.12,0.05,0.08,8
I,0.41,0.30,0.09,0.27,0.10,0.07,0.11,6
I,0.41,0.32,0.10,0.28,0.11,0.03,0.11,7
I,0.41,0.34,0.11,0.33,0.14,0.06,0.11,7
I,0.42,0.31,0.09,0.28,0.12,0.06,0.09,6
I,0.42,0.31,0.10,0.28,0.11,0.06,0.10,6
I,0.42,0.31,0.10,0.31,0.11,0.06,0.12,8
I,0.42,0.33,0.10,0.37,0.17,0.06,0.11,11
I,0.43,0.34,0.10,0.34,0.14,0.07,0.12,8
I,0.44,0.34,0.10,0.32,0.14,0.08,0.10,7
I,0.44,0.33,0.11,0.38,0.15,0.09,0.11,7
I,0.44,0.33,0.11,0.34,0.16,0.06,0.11,8
I,0.44,0.35,0.12,0.32,0.13,0.06,0.12,7
I,0.45,0.33,0.11,0.36,0.15,0.07,0.12,8
I,0.47,0.37,0.11,0.45,0.16,0.10,0.17,7
I,0.47,0.38,0.12,0.49,0.20,0.10,0.14,8
I,0.48,0.34,0.11,0.45,0.20,0.08,0.15,9
I,0.49,0.39,0.13,0.57,0.25,0.18,0.15,7
I,0.49,0.36,0.12,0.52,0.25,0.10,0.15,8
I,0.49,0.37,0.12,0.46,0.19,0.10,0.15,9
I,0.50,0.38,0.14,0.51,0.21,0.12,0.17,8
I,0.50,0.38,0.15,0.50,0.21,0.15,0.15,8
I,0.50,0.38,0.14,0.49,0.18,0.10,0.19,8
I,0.50,0.38,0.11,0.56,0.28,0.11,0.15,9
I,0.51,0.41,0.13,0.60,0.22,0.12,0.23,11
I,0.51,0.40,0.15,0.70,0.33,0.14,0.21,8
F,0.51,0.40,0.12,0.70,0.35,0.11,0.20,10
I,0.52,0.42,0.14,0.71,0.29,0.15,0.25,10
I,0.52,0.42,0.15,0.67,0.26,0.13,0.24,10
M,0.52,0.39,0.11,0.58,0.25,0.16,0.14,8
I,0.52,0.41,0.11,0.52,0.22,0.09,0.18,8
I,0.52,0.42,0.14,0.64,0.31,0.13,0.17,9
I,0.52,0.40,0.13,0.58,0.24,0.15,0.17,9
I,0.52,0.38,0.12,0.66,0.33,0.17,0.14,7
I,0.52,0.39,0.12,0.58,0.26,0.16,0.14,10
I,0.53,0.42,0.12,0.60,0.28,0.12,0.17,9
I,0.53,0.41,0.15,0.70,0.30,0.15,0.21,8
I,0.53,0.40,0.15,0.61,0.25,0.16,0.18,9
I,0.53,0.43,0.14,0.68,0.30,0.10,0.23,8
I,0.53,0.43,0.16,0.72,0.32,0.13,0.24,9
I,0.53,0.40,0.13,0.58,0.25,0.12,0.18,9
I,0.53,0.41,0.12,0.63,0.27,0.15,0.19,9
I,0.54,0.46,0.14,1.00,0.53,0.18,0.24,9
F,0.54,0.43,0.16,0.95,0.37,0.20,0.30,9
I,0.54,0.40,0.14,0.66,0.27,0.16,0.19,9
I,0.54,0.39,0.13,0.63,0.25,0.16,0.19,8
I,0.55,0.43,0.14,0.81,0.31,0.23,0.24,10
I,0.55,0.43,0.14,0.69,0.26,0.14,0.25,9
I,0.55,0.44,0.14,0.80,0.30,0.19,0.24,10
I,0.55,0.45,0.13,0.80,0.34,0.14,0.23,6
M,0.56,0.44,0.14,0.75,0.34,0.16,0.21,8
M,0.56,0.41,0.13,0.60,0.23,0.15,0.19,8
M,0.56,0.40,0.13,0.71,0.33,0.16,0.18,7
I,0.56,0.45,0.18,0.74,0.30,0.18,0.22,9
M,0.56,0.46,0.14,0.84,0.38,0.17,0.24,9
I,0.56,0.45,0.17,0.83,0.35,0.18,0.28,9
F,0.57,0.45,0.13,0.83,0.31,0.18,0.23,11
M,0.57,0.42,0.13,0.67,0.30,0.15,0.19,7
M,0.57,0.46,0.16,0.94,0.42,0.18,0.26,11
I,0.57,0.44,0.15,0.84,0.40,0.16,0.26,9
M,0.57,0.45,0.16,0.90,0.42,0.20,0.25,9
I,0.57,0.46,0.16,0.87,0.38,0.22,0.25,10
M,0.57,0.46,0.16,1.00,0.45,0.21,0.27,11
M,0.57,0.46,0.16,0.83,0.36,0.17,0.28,11
M,0.57,0.44,0.18,0.94,0.38,0.23,0.28,9
M,0.57,0.42,0.13,0.88,0.43,0.20,0.24,13
F,0.57,0.44,0.12,0.80,0.38,0.15,0.23,9
M,0.58,0.45,0.13,0.79,0.32,0.19,0.23,9
M,0.58,0.45,0.16,0.98,0.50,0.21,0.24,9
M,0.58,0.44,0.14,0.99,0.43,0.22,0.24,10
M,0.58,0.46,0.16,1.01,0.47,0.21,0.30,11
M,0.58,0.45,0.15,0.88,0.38,0.16,0.27,10
F,0.58,0.47,0.18,1.10,0.47,0.20,0.35,9
I,0.58,0.45,0.14,0.87,0.45,0.16,0.23,10
I,0.58,0.45,0.14,0.82,0.34,0.21,0.24,11
F,0.58,0.43,0.16,0.80,0.35,0.19,0.22,9
M,0.58,0.48,0.15,0.86,0.37,0.17,0.27,9
F,0.58,0.45,0.20,0.83,0.40,0.17,0.23,9
F,0.58,0.50,0.17,0.93,0.37,0.19,0.30,10
M,0.58,0.44,0.15,1.05,0.52,0.22,0.28,10
I,0.58,0.44,0.15,0.79,0.35,0.16,0.24,10
M,0.58,0.44,0.16,0.83,0.34,0.20,0.25,9
M,0.60,0.46,0.15,0.89,0.43,0.20,0.22,10
F,0.60,0.47,0.14,0.97,0.47,0.20,0.26,11
M,0.60,0.46,0.17,1.18,0.46,0.34,0.33,11
M,0.60,0.48,0.15,0.99,0.39,0.22,0.31,10
F,0.60,0.47,0.16,1.13,0.47,0.29,0.30,11
I,0.61,0.49,0.17,1.07,0.48,0.19,0.35,10
F,0.61,0.46,0.15,0.86,0.33,0.20,0.30,9
M,0.61,0.47,0.18,1.12,0.48,0.26,0.32,10
M,0.61,0.48,0.14,1.03,0.44,0.26,0.27,8
F,0.61,0.46,0.15,1.12,0.48,0.29,0.30,10
F,0.61,0.46,0.16,0.96,0.43,0.20,0.27,8
F,0.61,0.47,0.17,1.18,0.57,0.28,0.29,11
M,0.62,0.47,0.15,1.03,0.44,0.28,0.29,11
M,0.62,0.47,0.15,1.09,0.50,0.28,0.27,9
F,0.62,0.50,0.16,1.26,0.58,0.32,0.32,12
M,0.62,0.50,0.20,1.22,0.56,0.23,0.39,10
M,0.62,0.49,0.16,1.04,0.44,0.25,0.29,11
M,0.62,0.49,0.15,1.20,0.46,0.30,0.36,9
F,0.62,0.50,0.17,1.06,0.37,0.21,0.34,11
M,0.62,0.50,0.20,1.51,0.58,0.35,0.52,15
M,0.62,0.47,0.15,1.31,0.59,0.44,0.33,9
M,0.62,0.49,0.16,1.03,0.43,0.23,0.34,12
M,0.63,0.50,0.16,1.05,0.49,0.21,0.32,11
M,0.63,0.52,0.17,1.33,0.57,0.30,0.36,9
M,0.63,0.51,0.19,1.16,0.52,0.24,0.35,10
F,0.63,0.45,0.16,1.09,0.46,0.30,0.30,11
F,0.63,0.52,0.18,1.35,0.48,0.35,0.38,11
F,0.63,0.47,0.15,0.98,0.48,0.20,0.27,11
M,0.63,0.49,0.16,1.25,0.63,0.25,0.29,9
F,0.64,0.49,0.17,1.27,0.56,0.31,0.34,11
F,0.64,0.52,0.17,1.34,0.51,0.30,0.41,11
F,0.64,0.51,0.16,1.29,0.59,0.31,0.35,11
M,0.64,0.53,0.16,1.20,0.54,0.25,0.34,12
M,0.64,0.50,0.17,1.27,0.65,0.21,0.37,12
M,0.64,0.52,0.17,1.23,0.51,0.30,0.35,10
M,0.64,0.53,0.17,1.19,0.48,0.30,0.35,11
F,0.64,0.48,0.15,1.11,0.51,0.24,0.34,10
F,0.64,0.52,0.17,1.31,0.49,0.26,0.41,10
I,0.64,0.49,0.14,1.10,0.49,0.25,0.29,10
M,0.64,0.49,0.16,1.13,0.48,0.27,0.34,9
F,0.64,0.49,0.19,1.42,0.67,0.35,0.33,11
F,0.65,0.51,0.18,1.62,0.78,0.32,0.47,12
M,0.65,0.49,0.18,1.32,0.65,0.24,0.34,11
F,0.65,0.52,0.21,1.55,0.62,0.37,0.47,16
I,0.65,0.52,0.15,1.24,0.55,0.30,0.33,10
F,0.65,0.51,0.16,1.19,0.48,0.28,0.36,13
F,0.65,0.51,0.19,1.38,0.53,0.38,0.40,10
F,0.66,0.52,0.18,1.41,0.62,0.25,0.50,11
F,0.66,0.53,0.18,1.35,0.59,0.26,0.39,10
M,0.66,0.52,0.17,1.14,0.53,0.22,0.35,9
F,0.66,0.54,0.21,1.44,0.59,0.28,0.49,10
M,0.66,0.51,0.18,1.22,0.51,0.30,0.37,11
F,0.67,0.50,0.15,1.25,0.46,0.30,0.36,10
M,0.67,0.52,0.20,1.27,0.51,0.27,0.44,12
M,0.67,0.53,0.18,1.43,0.67,0.29,0.40,12
F,0.67,0.53,0.21,1.40,0.64,0.25,0.42,12
M,0.68,0.52,0.15,1.31,0.56,0.28,0.41,11
F,0.68,0.51,0.19,1.47,0.63,0.30,0.42,11
M,0.68,0.54,0.19,1.62,0.72,0.35,0.47,12
M,0.68,0.54,0.16,1.53,0.67,0.38,0.38,10
M,0.69,0.54,0.16,1.38,0.66,0.21,0.41,10
M,0.69,0.55,0.18,1.69,0.67,0.40,0.50,11
M,0.70,0.55,0.19,1.57,0.66,0.38,0.45,13
F,0.70,0.58,0.21,1.77,0.61,0.45,0.54,13
M,0.70,0.55,0.18,1.44,0.66,0.30,0.38,12
M,0.70,0.55,0.20,1.62,0.68,0.35,0.54,13
F,0.71,0.54,0.22,1.87,0.93,0.38,0.44,10
F,0.72,0.58,0.18,1.67,0.73,0.36,0.50,12
M,0.72,0.57,0.19,2.08,1.08,0.43,0.50,11
F,0.73,0.57,0.21,1.62,0.74,0.32,0.49,11
F,0.75,0.55,0.20,1.83,0.83,0.37,0.44,11
M,0.76,0.61,0.22,2.17,0.80,0.49,0.65,13
I,0.14,0.13,0.04,0.03,0.01,0.01,0.01,4
I,0.16,0.11,0.03,0.02,0.01,0.01,0.01,4
I,0.21,0.15,0.06,0.05,0.02,0.01,0.02,5
I,0.28,0.21,0.08,0.12,0.05,0.03,0.03,6
I,0.28,0.20,0.07,0.09,0.04,0.02,0.03,7
I,0.29,0.22,0.06,0.09,0.03,0.02,0.03,6
I,0.29,0.21,0.07,0.11,0.05,0.02,0.03,5
I,0.29,0.21,0.06,0.12,0.06,0.02,0.03,6
I,0.29,0.21,0.07,0.10,0.04,0.02,0.03,6
I,0.32,0.24,0.07,0.13,0.06,0.03,0.04,6
I,0.33,0.25,0.07,0.17,0.09,0.04,0.04,7
I,0.34,0.25,0.08,0.17,0.07,0.04,0.05,6
I,0.35,0.24,0.08,0.17,0.07,0.05,0.05,7
I,0.35,0.25,0.07,0.16,0.07,0.03,0.05,6
I,0.36,0.27,0.11,0.27,0.14,0.05,0.07,9
I,0.36,0.27,0.09,0.22,0.11,0.04,0.06,6
I,0.36,0.27,0.09,0.20,0.09,0.03,0.05,7
I,0.38,0.28,0.08,0.23,0.11,0.05,0.07,6
I,0.38,0.28,0.09,0.22,0.11,0.05,0.06,7
I,0.40,0.29,0.10,0.30,0.16,0.07,0.08,7
I,0.41,0.25,0.09,0.29,0.13,0.06,0.08,7
I,0.42,0.33,0.11,0.32,0.14,0.08,0.09,8
I,0.43,0.32,0.10,0.37,0.19,0.07,0.10,7
I,0.43,0.32,0.11,0.37,0.17,0.10,0.11,8
I,0.44,0.33,0.12,0.35,0.16,0.08,0.10,7
M,0.45,0.33,0.11,0.50,0.26,0.08,0.13,8
I,0.46,0.35,0.11,0.47,0.21,0.10,0.14,7
M,0.47,0.37,0.14,0.52,0.24,0.15,0.15,10
I,0.47,0.38,0.11,0.44,0.17,0.09,0.15,10
I,0.48,0.37,0.12,0.52,0.27,0.11,0.14,8
M,0.51,0.39,0.12,0.65,0.33,0.14,0.17,9
M,0.51,0.40,0.14,0.59,0.29,0.13,0.19,12
M,0.51,0.39,0.12,0.48,0.21,0.10,0.15,10
I,0.51,0.46,0.14,0.69,0.29,0.15,0.20,9
M,0.52,0.40,0.14,0.63,0.29,0.15,0.17,9
M,0.53,0.41,0.13,0.69,0.34,0.15,0.18,9
F,0.53,0.43,0.15,0.74,0.33,0.19,0.20,9
F,0.53,0.41,0.13,0.64,0.26,0.16,0.19,9
M,0.55,0.44,0.14,0.84,0.36,0.19,0.24,11
F,0.55,0.47,0.15,0.92,0.38,0.24,0.27,10
F,0.56,0.41,0.16,0.82,0.34,0.18,0.25,9
M,0.57,0.45,0.15,0.93,0.43,0.21,0.25,9
F,0.57,0.44,0.15,0.83,0.39,0.16,0.25,10
M,0.58,0.46,0.16,1.06,0.51,0.27,0.26,9
M,0.59,0.47,0.17,1.12,0.52,0.27,0.28,10
F,0.60,0.45,0.14,0.84,0.37,0.18,0.24,10
M,0.61,0.45,0.14,0.98,0.43,0.21,0.30,12
M,0.61,0.49,0.16,1.11,0.47,0.23,0.34,10
F,0.63,0.52,0.18,1.35,0.53,0.25,0.39,14
M,0.66,0.52,0.20,1.57,0.73,0.35,0.39,9
I,0.26,0.19,0.06,0.09,0.04,0.02,0.03,5
I,0.27,0.20,0.07,0.11,0.05,0.02,0.03,5
I,0.28,0.22,0.08,0.13,0.07,0.02,0.03,5
I,0.29,0.22,0.07,0.11,0.05,0.02,0.03,6
I,0.32,0.26,0.09,0.17,0.07,0.03,0.06,8
I,0.33,0.24,0.07,0.15,0.06,0.03,0.05,8
I,0.39,0.28,0.10,0.28,0.13,0.06,0.07,8
I,0.40,0.30,0.10,0.29,0.14,0.06,0.08,7
F,0.40,0.31,0.16,0.37,0.17,0.07,0.11,7
I,0.41,0.31,0.09,0.31,0.14,0.06,0.09,8
I,0.42,0.31,0.12,0.34,0.17,0.08,0.08,7
I,0.42,0.32,0.12,0.36,0.19,0.07,0.09,6
I,0.44,0.31,0.12,0.38,0.16,0.09,0.11,9
I,0.45,0.32,0.12,0.38,0.15,0.08,0.12,8
M,0.45,0.35,0.13,0.47,0.21,0.10,0.14,8
F,0.46,0.36,1.13,0.59,0.33,0.12,0.13,8
M,0.46,0.35,0.12,0.49,0.24,0.12,0.13,8
M,0.46,0.35,0.11,0.46,0.24,0.09,0.12,7
M,0.47,0.36,0.11,0.50,0.27,0.09,0.12,7
I,0.47,0.36,0.09,0.43,0.20,0.07,0.13,9
F,0.48,0.38,0.14,0.69,0.32,0.13,0.20,7
I,0.48,0.35,0.14,0.55,0.27,0.10,0.16,8
M,0.49,0.39,0.14,0.62,0.25,0.13,0.16,8
I,0.49,0.37,0.11,0.54,0.27,0.10,0.14,8
M,0.50,0.39,0.14,0.78,0.36,0.16,0.24,9
F,0.50,0.38,0.14,0.64,0.28,0.14,0.18,8
M,0.51,0.39,0.13,0.64,0.31,0.15,0.15,7
M,0.53,0.39,0.10,0.51,0.25,0.10,0.15,8
M,0.54,0.42,0.13,0.74,0.36,0.19,0.18,8
F,0.54,0.42,0.13,0.70,0.31,0.16,0.20,8
F,0.54,0.39,0.14,0.77,0.33,0.12,0.24,10
F,0.54,0.42,0.13,0.75,0.37,0.17,0.18,9
F,0.55,0.43,0.16,0.84,0.39,0.19,0.23,9
M,0.55,0.41,0.13,0.87,0.45,0.21,0.21,9
I,0.55,0.42,0.12,0.67,0.29,0.14,0.21,11
F,0.57,0.44,0.14,0.83,0.39,0.17,0.24,9
M,0.58,0.45,0.12,0.87,0.42,0.15,0.26,8
F,0.58,0.44,0.15,0.84,0.35,0.21,0.19,7
F,0.59,0.49,0.15,1.08,0.41,0.21,0.36,11
M,0.60,0.47,0.15,0.92,0.43,0.18,0.26,9
F,0.60,0.47,0.19,1.13,0.49,0.26,0.34,10
F,0.61,0.43,0.14,0.91,0.44,0.20,0.22,8
M,0.61,0.48,0.17,1.24,0.56,0.27,0.37,8
F,0.62,0.49,0.16,1.06,0.49,0.24,0.27,9
M,0.65,0.50,0.15,1.21,0.60,0.22,0.34,9
M,0.65,0.50,0.14,1.24,0.62,0.24,0.32,8
F,0.67,0.53,0.21,1.64,0.82,0.34,0.43,10
M,0.69,0.55,0.20,1.77,0.81,0.39,0.49,11
F,0.69,0.54,0.20,1.25,0.73,0.40,0.46,12
F,0.71,0.57,0.19,1.76,0.75,0.37,0.49,10
F,0.71,0.50,0.15,1.32,0.68,0.28,0.28,10
M,0.72,0.59,0.22,1.91,0.92,0.45,0.48,11
F,0.72,0.58,0.22,2.10,0.86,0.48,0.60,12
F,0.73,0.56,0.18,1.69,0.66,0.20,0.49,10
M,0.78,0.57,0.22,2.03,0.74,0.48,0.66,17
F,0.51,0.39,0.12,0.66,0.30,0.16,0.18,8
M,0.53,0.43,0.13,0.75,0.30,0.14,0.25,10
F,0.51,0.39,0.12,0.62,0.24,0.11,0.21,11
I,0.41,0.31,0.09,0.28,0.11,0.06,0.10,7
M,0.42,0.30,0.10,0.34,0.15,0.07,0.10,7
M,0.50,0.39,0.15,0.65,0.27,0.13,0.22,11
M,0.43,0.33,0.08,0.36,0.13,0.08,0.13,7
M,0.47,0.35,0.10,0.48,0.19,0.09,0.18,8
F,0.40,0.31,0.12,0.35,0.15,0.07,0.12,10
I,0.37,0.29,0.10,0.25,0.10,0.05,0.09,10
M,0.50,0.38,0.16,0.66,0.27,0.14,0.22,19
I,0.41,0.31,0.11,0.32,0.12,0.08,0.10,9
M,0.38,0.29,0.10,0.28,0.12,0.06,0.09,9
F,0.49,0.39,0.13,0.54,0.22,0.13,0.17,11
M,0.59,0.48,0.19,1.04,0.43,0.27,0.29,10
M,0.60,0.46,0.16,1.04,0.42,0.21,0.37,14
F,0.68,0.55,0.18,1.69,0.56,0.37,0.60,15
M,0.67,0.54,0.23,2.18,0.75,0.39,0.89,27
M,0.62,0.49,0.17,1.21,0.52,0.26,0.34,13
I,0.33,0.25,0.06,0.17,0.08,0.05,0.05,5
I,0.46,0.36,0.08,0.45,0.22,0.10,0.13,9
M,0.53,0.41,0.13,0.72,0.33,0.20,0.18,8
I,0.39,0.29,0.09,0.23,0.09,0.05,0.08,7
I,0.13,0.10,0.04,0.01,0.01,0.01,0.00,4
I,0.18,0.13,0.05,0.03,0.01,0.01,0.01,3
I,0.31,0.23,0.05,0.14,0.07,0.04,0.05,6
F,0.38,0.29,0.08,0.28,0.14,0.07,0.08,7
F,0.48,0.38,0.12,0.61,0.27,0.14,0.19,8
I,0.46,0.37,0.13,0.43,0.20,0.13,0.15,9
M,0.43,0.33,0.10,0.33,0.14,0.07,0.11,7
I,0.48,0.36,0.11,0.46,0.18,0.10,0.15,9
F,0.44,0.35,0.12,0.46,0.19,0.10,0.13,11
F,0.29,0.21,0.08,0.28,0.11,0.07,0.04,6
M,0.39,0.30,0.10,0.34,0.15,0.09,0.09,7
M,0.47,0.38,0.12,0.43,0.17,0.08,0.15,8
F,0.50,0.40,0.13,0.58,0.24,0.13,0.19,10
I,0.40,0.31,0.10,0.13,0.11,0.07,0.09,7
M,0.62,0.51,0.18,1.15,0.44,0.23,0.40,12
M,0.60,0.47,0.15,0.89,0.36,0.21,0.25,12
M,0.59,0.46,0.14,0.97,0.46,0.19,0.30,9
M,0.32,0.24,0.08,0.18,0.08,0.04,0.06,6
F,0.52,0.41,0.13,0.70,0.29,0.16,0.22,10
M,0.44,0.35,0.11,0.46,0.20,0.09,0.13,9
F,0.44,0.33,0.12,0.40,0.14,0.11,0.12,8
M,0.57,0.43,0.10,0.71,0.31,0.17,0.18,12
F,0.56,0.43,0.13,0.93,0.36,0.21,0.34,9
F,0.59,0.46,0.18,0.97,0.39,0.25,0.31,10
F,0.57,0.47,0.18,1.00,0.41,0.28,0.30,16
M,0.68,0.53,0.21,1.50,0.58,0.34,0.47,14
F,0.45,0.36,0.13,0.51,0.22,0.11,0.16,10
I,0.32,0.24,0.08,0.17,0.08,0.04,0.05,7
I,0.46,0.35,0.11,0.39,0.17,0.09,0.13,9
M,0.47,0.37,0.11,0.47,0.20,0.10,0.16,10
M,0.46,0.35,0.11,0.40,0.16,0.08,0.14,9
F,0.42,0.33,0.12,0.35,0.14,0.08,0.11,9
M,0.47,0.35,0.12,0.52,0.20,0.16,0.19,11
M,0.46,0.38,0.14,0.49,0.19,0.08,0.17,12
M,0.42,0.31,0.09,0.32,0.13,0.07,0.12,8
M,0.27,0.20,0.07,0.11,0.05,0.02,0.04,7
M,0.45,0.36,0.11,0.44,0.18,0.10,0.15,10
F,0.75,0.59,0.19,1.97,0.84,0.44,0.59,18
F,0.40,0.30,0.12,0.30,0.13,0.05,0.09,8
I,0.28,0.20,0.08,0.12,0.05,0.01,0.04,5
M,0.55,0.44,0.14,0.88,0.37,0.21,0.27,10
M,0.58,0.46,0.17,1.23,0.47,0.20,0.44,16
M,0.61,0.50,0.17,1.27,0.49,0.19,0.49,12
M,0.62,0.50,0.18,1.81,0.64,0.33,0.73,17
M,0.56,0.42,0.20,0.81,0.30,0.18,0.29,14
F,0.64,0.51,0.20,1.39,0.61,0.33,0.41,12
M,0.69,0.55,0.20,1.85,0.73,0.47,0.57,19
F,0.72,0.57,0.24,2.20,0.72,0.47,0.89,17
F,0.71,0.57,0.20,1.82,0.79,0.49,0.49,11
F,0.55,0.47,0.15,0.90,0.38,0.18,0.29,9
M,0.38,0.31,0.09,0.32,0.14,0.06,0.10,5
F,0.61,0.45,0.16,1.14,0.41,0.31,0.30,9
I,0.38,0.28,0.09,0.27,0.12,0.06,0.09,6
F,0.37,0.28,0.09,0.24,0.10,0.05,0.07,5
M,0.34,0.24,0.09,0.15,0.07,0.03,0.05,6
I,0.17,0.12,0.02,0.01,0.01,0.00,0.01,4
M,0.29,0.21,0.08,0.12,0.06,0.03,0.04,7
I,0.19,0.13,0.03,0.03,0.02,0.02,0.01,6
I,0.22,0.15,0.03,0.04,0.01,0.01,0.01,5
M,0.60,0.47,0.13,0.80,0.32,0.20,0.23,10
F,0.65,0.50,0.17,1.18,0.48,0.27,0.36,13
M,0.58,0.45,0.19,0.93,0.34,0.20,0.35,12
F,0.57,0.45,0.17,1.10,0.41,0.19,0.41,20
F,0.58,0.45,0.24,1.07,0.30,0.21,0.40,14
